base_repository_url,friction_rate,n_rel,language
https://github.com/Broadcom/Broadcom-Compute-Connectivity-Software-robo2-xsdk,0.0,93,C
https://github.com/Broadcom/WICED-OpenOCD,0.13333333333333333,60,C
https://github.com/Broadcom/WICED_parse,0.0,6,C
https://github.com/Broadcom/aeolus,0.024173027989821884,1572,C
https://github.com/Broadcom/arm-trusted-firmware,0.0004506534474988734,2219,C
https://github.com/Broadcom/optee_os,0.0,1833,C
https://github.com/Broadcom/rdma-core-nxt,0.0,368,C
https://github.com/Broadcom/spdk,0.0,1711,C
https://github.com/Broadcom/vfd,0.016666666666666666,120,C
https://github.com/Brummi/derender3d,0.0,28,Python
https://github.com/ByungKwanLee/CoLLaVO,0.0,81,Python
https://github.com/ByungKwanLee/TroL,0.0,31,Python
https://github.com/C3Pool/xmrig-C3,0.15502555366269166,1174,C
https://github.com/CHAOZHAO-1/Domain-generalization-fault-diagnosis-benchmark,0.0,9,Python
https://github.com/CNJianLiu/6D-CLGrasp,0.0,30,Python
https://github.com/CSEMike/OneSwarm,0.0,2148,Java
https://github.com/CURTLab/LVGLBuilder,0.5067785668173015,1549,C
https://github.com/Caffe-MPI/Caffe-MPI.github.io,0.0,44,C++
https://github.com/CanIPhish/Phishious,0.0,54,C#
https://github.com/CatfishW/MOT,0.0,45,Python
https://github.com/Cavendish518/SALT,0.828125,64,C++
https://github.com/Cavendish518/SFPNet,1.0,5,Python
https://github.com/Chamepp/Daily.py,0.0,31,Python
https://github.com/ChandlerBang/SimP-GCN,0.0,27,Python
https://github.com/ChanglongJiangGit/A2J-Transformer,0.2222222222222222,18,Python
https://github.com/CharafChnioune/MFLUX-WEBUI,0.0,5,Python
https://github.com/CharlesLoo/stock-pattern-recorginition,0.0,1956,Python
https://github.com/ChenCVer/darknet,0.038461538461538464,598,C
https://github.com/Chenglin-Yang/LVT,0.0,67,Python
https://github.com/ChenhongyiYang/PPAL,0.0,311,Python
https://github.com/ChiliMilk/URP_Water,0.4,5,C#
https://github.com/Chrisding/seal,0.38513513513513514,148,C++
https://github.com/Chrispresso/SnakeAI,0.0,11,Python
https://github.com/ChristophReich1996/Swin-Transformer-V2,0.2,5,Python
https://github.com/Chrriis/DJ-Native-Swing,0.0,30,Java
https://github.com/ChuRuaNh0/FastSam_Awsome_TensorRT,0.0,226,Python
https://github.com/ChungYi347/Interactive-Multi-Class-Tiny-Object-Detection,0.0,253,Python
https://github.com/Code-Bullet/Flappy-Bird-AI,0.0,130,JavaScript
https://github.com/Comcast/FreeFlow,0.0,46,Java
https://github.com/Comcast/Oscar,0.0,6,Java
https://github.com/Comcast/Priority-Operation-Processing,0.3,10,Java
https://github.com/Comcast/ansible-modules-core,0.0,547,Python
https://github.com/Comcast/ansible-modules-extras,0.0,797,Python
https://github.com/Comcast/dawg,0.0,24,Java
https://github.com/Comcast/dr-elephant,0.0,222,Java
https://github.com/Comcast/gpac-caption-extractor,0.0033647375504710633,1486,C
https://github.com/Comcast/jclouds,0.0,145,Java
https://github.com/Comcast/jclouds-labs,0.0,15,Java
https://github.com/Comcast/kafka-node,0.0,23,JavaScript
https://github.com/Comcast/karma,0.9090909090909091,11,JavaScript
https://github.com/Comcast/logback-elasticsearch-appender,0.0,15,Java
https://github.com/Comcast/netconf-java,0.696969696969697,132,Java
https://github.com/Comcast/node-apn,0.0,28,JavaScript
https://github.com/Comcast/picoGW_hal,0.1774193548387097,62,C
https://github.com/Comcast/picoGW_packet_forwarder,0.0,61,C
https://github.com/Comcast/readthedocs.org,0.2,5,Python
