measure,n,gini,ci_low,ci_high,bootstrap_se
Category 3 (Procedural) volume,10337,0.9613372744083815,0.9544710293840245,0.9672374268425892,0.0032810987138453557
Category 4 (Structural/High Risk) volume,10337,0.9923003733399933,0.9901129400480093,0.9936631628988688,0.0009009043707624416
Combined actionable debt (Cat 3+4) volume,10337,0.9604089387929201,0.9540519883074101,0.9658744980597758,0.0030221178411386986
LCD density (actionable debt / resolved-provenance methods),8407,0.7403806622213065,0.7325749491261191,0.748108428221872,0.003925815892291411
