,coef,IRR,IRR_CI_low,IRR_CI_high,p_value
const,0.6399887930020349,1.8964596255666917,1.8536980348583403,1.9402076518246973,0.0
has_license,0.01395827168652251,1.014056143202989,0.9858461736016697,1.0430733405506005,0.3322075105960717
age_std,0.23551654826836857,1.2655623239489007,1.2486225178520742,1.2827319489273308,3.69681497617399e-257
alpha,0.2853358635210745,1.3302087216882679,1.313445306991301,1.347186086726986,0.0
