,coef,IRR,IRR_CI_low,IRR_CI_high,p_value
const,0.717461015951399,2.049223653782623,2.0035012606119595,2.095989488890835,0.0
has_license,-0.06448603518163455,0.9375492068750142,0.911521457937316,0.9643201568738228,7.148063924647425e-06
alpha,0.31443953738777186,1.3694915470157372,1.3509809108875646,1.3882558089702322,0.0
