,coef,IRR,IRR_CI_low,IRR_CI_high,p_value
const,0.5877677785060405,1.799966004808083,1.7337494137987746,1.8687115869680138,1.9209321145382423e-207
is_permissive,0.0462277869167172,1.0473129479753571,1.004645526193291,1.091792460523832,0.029378832231049725
age_std,0.24164763284208887,1.2733454286462293,1.2525671788893489,1.2944683590479773,3.097620010520857e-182
alpha,0.2598119050190343,1.296686163566881,1.277057563026217,1.3166164591683942,2.3026278582881987e-244
